nome,raca,genero
"SOCORRO NERI","Branco","Mulher"
"GERLEN DINIZ","Branco","Homem"
"DR EDUARDO VELLOSO","Branco","Homem"
"ROBERTO DUARTE","Branco","Homem"
"ALAN RICK","Branco","Homem"
"MEIRE SERAFIM","Pardo","Mulher"
"ZEZINHO BARBARY","Pardo","Homem"
"ANTNIA LUCIA","Pardo","Mulher"
"CORONEL ULYSSES","Preto","Homem"
"MARX BELTRO","Branco","Homem"
"ARTHUR LIRA","Pardo","Homem"
"ISNALDO BULHES JR","Branco","Homem"
"RENAN FILHO","Branco","Homem"
"DELEGADO FABIO COSTA","Pardo","Homem"
"DANIEL BARBOSA","Branco","Homem"
"RAFAEL BRITO TIO RAFA","Branco","Homem"
"LUCIANO AMARAL","Branco","Homem"
"PAULO","Pardo","Homem"
"ALFREDO GASPAR","Branco","Homem"
"OTTO FILHO","Branco","Homem"
"MARCIO MARINHO","Preto","Homem"
"ALEX SANTANA","Branco","Homem"
"MRIO NEGROMONTE JR","Branco","Homem"
"OTTO ALENCAR","Branco","Homem"
"CLAUDIO CAJADO","Pardo","Homem"
"CAPITO ALDEN","Pardo","Homem"
"LEUR LOMANTO JR","Pardo","Homem"
"PAULO MAGALHES","Branco","Homem"
"SRGIO BRITO","Pardo","Homem"
"VALMIR ASSUNO","Preto","Homem"
"IVONEIDE CAETANO","Pardo","Mulher"
"BACELAR","Branco","Homem"
"LDICE DA MATA","Pardo","Mulher"
"DIEGO CORONEL","Branco","Homem"
"JOO CARLOS BACELAR","Branco","Homem"
"ADOLFO VIANA","Branco","Homem"
"JOS ROCHA","Pardo","Homem"
"DEPUTADO DAL","Pardo","Homem"
"GABRIEL NUNES","Branco","Homem"
"ROGERIA SANTOS","Branco","Mulher"
"PASTOR SARGENTO ISIDRIO","Preto","Homem"
"PAULO AZI","Branco","Homem"
"Z NETO","Branco","Homem"
"AFONSO FLORENCE","Branco","Homem"
"ALICE PORTUGAL","Pardo","Mulher"
"FELIX  MENDONA","Pardo","Homem"
"LO PRATES","Pardo","Homem"
"NETO CARLETTO","Pardo","Homem"
"RAIMUNDO COSTA","Pardo","Homem"
"WALDENOR PEREIRA","Pardo","Homem"
"ROBERTA ROMA","Branco","Mulher"
"RICARDO MAIA","Branco","Homem"
"ELMAR NASCIMENTO","Pardo","Homem"
"ARTHUR MAIA","Branco","Homem"
"ANTONIO BRITO","Preto","Homem"
"JOO LEO","Branco","Homem"
"JOSEILDO RAMOS","Pardo","Homem"
"DANIEL","Pardo","Homem"
"JORGE SOLLA","Branco","Homem"
"SIDNEY LEITE","Pardo","Homem"
"OMAR AZIZ","Branco","Homem"
"CAPITO ALBERTO NETO","Branco","Homem"
"FAUSTO SANTOS JR","Branco","Homem"
"SAULLO VIANNA","Branco","Homem"
"ADAIL FILHO","Pardo","Homem"
"AMOM MANDEL","Branco","Homem"
"ATILA LINS","Branco","Homem"
"SILAS CMARA","Pardo","Homem"
"DORINALDO MALAFAIA","Pardo","Homem"
"DR PUPIO","Branco","Homem"
"SONIZE BARBOSA","Branco","Mulher"
"DAVI","Branco","Homem"
"PROFESSORA GORETH","Branco","Mulher"
"SILVIA WAIPI","IND�GENA","Mulher"
"JOSENILDO","Pardo","Homem"
"VINICIUS GURGEL","Branco","Homem"
"ACCIO FAVACHO","Branco","Homem"
"RAFAEL PRUDENTE","Branco","Homem"
"FRED LINHARES","Pardo","Homem"
"FRAGA","Branco","Homem"
"DAMARES ALVES","Branco","Mulher"
"PROFESSOR REGINALDO VERAS","Pardo","Homem"
"JULIO CESAR","Branco","Homem"
"GILVAN MAXIMO","Pardo","Homem"
"BIA KICIS","Branco","Mulher"
"ERIKA KOKAY","Branco","Mulher"
"JACK ROCHA","Preto","Mulher"
"MAGNO MALTA","Preto","Homem"
"HELDER SALOMO","Branco","Homem"
"GILVAN O FEDERAL DA DIREITA","Pardo","Homem"
"EVAIR DE MELO","Pardo","Homem"
"MESSIAS DONATO","Pardo","Homem"
